MSE,RMSE,MAE,R2,PCC,Accuracy,Precision,Recall,F1-Score,AUC-ROC,AUC-PR,MCC,Model
0.5295,0.7276,0.5368,0.7525,0.8684,0.8711,0.6674,0.6705,0.669,0.9088,0.7217,0.5889,./weights/seq/(onehot)_(combinedloss)_(local_3block256dim)_(global_1layer128_4head)/
0.409,0.6395,0.4639,0.8062,0.8985,0.8708,0.6315,0.7889,0.7015,0.9288,0.781,0.6266,./weights/seq/(onehot_meiler)_(combinedloss)_(local_3block256dim)_(global_1layer128_4head)/
0.4089,0.6395,0.4729,0.8088,0.9031,0.8941,0.7096,0.77,0.7386,0.9282,0.8053,0.6732,./weights/seq/(esm35M)_(combinedloss)_(local_3block256dim)_(global_1layer128_4head)/
0.4486,0.6698,0.4975,0.7903,0.8891,0.8851,0.6914,0.7385,0.7141,0.918,0.785,0.6429,./weights/seq/(esm35M)_(combinedloss)_(none)/
0.4627,0.6802,0.5065,0.7837,0.8857,0.8858,0.6914,0.7443,0.7168,0.9158,0.7848,0.6461,./weights/seq/(protbert)_(combinedloss)_(local_3block256dim)_(global_1layer128_4head)/
0.477,0.6906,0.5172,0.777,0.8815,0.8762,0.6651,0.7309,0.6964,0.9112,0.7737,0.62,./weights/seq/(protbert)_(combinedloss)_(none)/
0.5281,0.7267,0.5454,0.7531,0.8683,0.8354,0.5606,0.7082,0.6258,0.8959,0.6749,0.528,./weights/seq/(onehot)_(regloss)_(local_3block256dim)_(global_1layer128_4head)/
0.4096,0.64,0.4609,0.8073,0.8996,0.8459,0.5728,0.8039,0.669,0.9209,0.7598,0.5862,./weights/seq/(onehot_meiler)_(regloss)_(local_3block256dim)_(global_1layer128_4head)/
0.3728,0.6106,0.4335,0.8257,0.9097,0.8851,0.6777,0.7792,0.7249,0.9284,0.804,0.6553,./weights/seq/(esm35M)_(regloss)_(local_3block256dim)_(global_1layer128_4head)/
0.4367,0.6608,0.4811,0.7958,0.8925,0.8751,0.6601,0.7367,0.6963,0.9116,0.7786,0.6195,./weights/seq/(protbert)_(regloss)_(local_3block256dim)_(global_1layer128_4head)/
0.2684,0.5181,0.3759,0.8738,0.9349,0.9072,0.7227,0.8475,0.7801,0.9513,0.8668,0.7254,./weights/graph/(onehot)_(3EGNN)
0.4989,0.7063,0.5328,0.7734,0.8799,0.8632,0.6199,0.7677,0.6859,0.9215,0.7733,0.6053,./weights/graph/(onehot)_(3GAT)
0.7218,0.8496,0.6571,0.658,0.8252,0.8788,0.7398,0.5723,0.6454,0.8507,0.6986,0.5806,./weights/graph/(onehot)_(3GCN)
0.9663,0.983,0.7135,0.5421,0.7366,0.7636,0.4238,0.6297,0.5067,0.8116,0.6011,0.3711,./weights/graph/(onehot)_(1EGNN)
0.4112,0.6412,0.483,0.8079,0.9006,0.8892,0.6884,0.7881,0.7349,0.9208,0.823,0.6677,./weights/graph/(esm8M)_(1EGNN)
0.7914,0.8896,0.6653,0.6303,0.7975,0.8532,0.6037,0.7186,0.6561,0.9028,0.7148,0.5671,./weights/graph/(esm8M)_(1GAT)
0.9211,0.846,0.7211,0.6021,0.7531,0.8421,0.5921,0.7069,0.6421,0.8917,0.7081,0.5491,./weights/graph/(esm8M)_(1GCN)
